High,Low
9353.4,7958.5
9482,8875.1
9892.2,8804.1
9719.6,8516.4
9500,8691.1
9420.5,8351
10109,9037
10899,9422.1
11316.4,10412
11506.9,11281.2
11490.3,10878.4
11420.7,9585.5
11167,10677.1
11047.8,10248.7
11070.7,10303.4
10867.2,10120.5
10378.4,9410.3
9860.3,9330.1
10506.1,9394.5
10419.1,9597.8
10930.2,9743.9
11289.7,10252.2
11791.5,11119.9
11250.5,10324.8
11271.6,10137.2
11095.9,10070.9
10294.3,9707.7
10206.8,9348.5
9500,8541.6
8942.7,8378
8984.9,8083.6
8564.2,7843.7
9066.6,8172.2
8735.6,7784.6
8489.9,7595.1
8536.5,7196.6
7896.2,5996.6
8383.2,6651.9
9382.1,7932.1
9506.9,8249.3
9201.4,7915.8
10303,8789.2
10397.7,9742.2
11277.2,9917.7
11888.1,11119
12112.7,11433.3
11621.7,10908.4
11655.3,10389.4
11740.9,10983.8
11549.5,10584.5
11438,10056.6
11970.9,10136.8
12860.2,11164.5
13082.2,11567.3
11973.2,10901.5
12004.7,10660.2
11769.6,9271.3
13711,10050.7
14396.6,13475.4
14446.1,13094.7
14640.7,13888.2
14176.4,13410
15109.1,13048.3
15045.4,13613.1
15324.6,14613.4
16302.9,13902.3
17184.8,15791.1
17252.8,16286.6
17126.9,14832.4
15408.7,14244.7
15435,14579.7
15306.1,12934.2
13921.5,12877.7
